id,pdbid,ndbid,polyclass,method
1EN9,1EN9,BD0035,DNA,X-ray
1ENE,1ENE,BD0036,DNA,X-ray
1ENN,1ENN,BD0037,DNA,X-ray
1EO3,1EO3,PD0129,Protein/DNA,X-ray
1EO4,1EO4,PD0130,Protein/DNA,X-ray
1EON,1EON,PD0131,Protein/DNA,X-ray
1EOO,1EOO,PD0132,Protein/DNA,X-ray
1EOP,1EOP,PD0133,Protein/DNA,X-ray
1EQQ,1EQQ,PR0048,Protein/RNA,X-ray
1EQZ,1EQZ,PD0137,Protein/DNA,X-ray
1ERI,1ERI,PDE001,Protein/DNA,X-ray
1ESG,1ESG,PD0139,Protein/DNA,X-ray
1ESH,1ESH,1ESH,RNA,NMR
1ESS,1ESS,1ESS,DNA,NMR
1ESY,1ESY,1ESY,RNA,NMR
1ET4,1ET4,DR0004,RNA,X-ray
1ETF,1ETF,1ETF,Protein/RNA,NMR
1ETG,1ETG,1ETG,Protein/RNA,NMR
1EU2,1EU2,1EU2,DNA,NMR
1EU6,1EU6,1EU6,DNA,NMR
1EUQ,1EUQ,PR0025,Protein/RNA,X-ray
1EUY,1EUY,PR0026,Protein/RNA,X-ray
1EVM,1EVM,1EVM,DNA,NMR
1EVN,1EVN,1EVN,DNA,NMR
1EVO,1EVO,1EVO,DNA,NMR
1EVP,1EVP,AH0011,Hybrid,X-ray
1EVV,1EVV,TR0002,RNA,X-ray
1EVW,1EVW,PD0140,Protein/DNA,X-ray
1EW1,1EW1,1EW1,Protein/DNA,NMR
1EWN,1EWN,PD0141,Protein/DNA,X-ray
1EWQ,1EWQ,PD0142,Protein/DNA,X-ray
1EXD,1EXD,PR0027,Protein/RNA,X-ray
1EXI,1EXI,PD0145,Protein/DNA,X-ray
1EXJ,1EXJ,PD0146,Protein/DNA,X-ray
1EXL,1EXL,1EXL,DNA,NMR
1EXY,1EXY,1EXY,Protein/RNA,NMR
1EYG,1EYG,PD0144,Protein/DNA,X-ray
1EYU,1EYU,PD0147,Protein/DNA,X-ray
1EZN,1EZN,1EZN,DNA,NMR
1F0O,1F0O,PD0149,Protein/DNA,X-ray
1F0V,1F0V,PD0150,Protein/DNA,X-ray
1F1T,1F1T,UR0011,RNA,X-ray
1F27,1F27,DR0005,RNA,X-ray
1F2I,1F2I,PD0165,Protein/DNA,X-ray
1F3S,1F3S,1F3S,DNA,NMR
1F44,1F44,PD0166,Protein/DNA,X-ray
1F4K,1F4K,PD0167,Protein/DNA,X-ray
1F4R,1F4R,PD0168,Protein/DNA,X-ray
1F4S,1F4S,1F4S,Protein/DNA,NMR
1F5E,1F5E,1F5E,Protein/DNA,NMR
1F5G,1F5G,1F5G,RNA,NMR
1F5H,1F5H,1F5H,RNA,NMR
1F5T,1F5T,PD0170,Protein/DNA,X-ray
1F5U,1F5U,1F5U,RNA,NMR
1F66,1F66,PD0171,Protein/DNA,X-ray
1F69,1F69,BD0039,DNA,X-ray
1F6C,1F6C,BD0040,DNA,X-ray
1F6E,1F6E,AD0009,DNA,X-ray
1F6I,1F6I,UD0010,DNA,X-ray
1F6J,1F6J,UD0011,DNA,X-ray
1F6O,1F6O,PD0172,Protein/DNA,X-ray
1F6U,1F6U,1F6U,Protein/RNA,NMR
1F6X,1F6X,1F6X,RNA,NMR
1F6Z,1F6Z,1F6Z,RNA,NMR
1F78,1F78,1F78,RNA,NMR
1F79,1F79,1F79,RNA,NMR
1F7F,1F7F,1F7F,RNA,NMR
1F7G,1F7G,1F7G,RNA,NMR
1F7H,1F7H,1F7H,RNA,NMR
1F7I,1F7I,1F7I,RNA,NMR
1F7U,1F7U,PR0030,Protein/RNA,X-ray
1F7V,1F7V,PR0031,Protein/RNA,X-ray
1F7Y,1F7Y,RR0010,Protein/RNA,X-ray
1F84,1F84,1F84,RNA,NMR
1F85,1F85,1F85,RNA,NMR
1F8V,1F8V,PR0036,Protein/RNA,X-ray
1F9L,1F9L,1F9L,RNA,NMR
1FC8,1FC8,1FC8,Hybrid,NMR
1FCW,1FCW,,Protein/RNA,EM
1FD5,1FD5,DD0028,DNA,X-ray
1FDG,1FDG,DD0029,DNA,X-ray
1FEQ,1FEQ,1FEQ,RNA,NMR
1FEU,1FEU,RR0012,Protein/RNA,X-ray
1FFK,1FFK,RR0011,Protein/RNA,X-ray
1FFY,1FFY,PR0032,Protein/RNA,X-ray
1FFZ,1FFZ,RR0013,Protein/RNA/Hybrid,X-ray
1FG0,1FG0,RR0014,Protein/RNA,X-ray
1FHK,1FHK,1FHK,RNA,NMR
1FHY,1FHY,DD0030,DNA,X-ray
1FHZ,1FHZ,DD0031,DNA,X-ray
1FIR,1FIR,TR0003,RNA,X-ray
1FIU,1FIU,PD0177,Protein/DNA,X-ray
1FIX,1FIX,UHJ055,DNA/RNA,X-ray
1FJ5,1FJ5,1FJ5,DNA,NMR
1FJA,1FJA,1FJA,DNA,NMR
1FJB,1FJB,1FJB,DNA,NMR
1FJE,1FJE,1FJE,Protein/RNA,NMR
1FJG,1FJG,RR0016,Protein/RNA,X-ray
1FJL,1FJL,PDE025,Protein/DNA,X-ray
1FJX,1FJX,PD0194,Protein/DNA,X-ray
1FKA,1FKA,RR0017,Protein/RNA,X-ray
1FKY,1FKY,1FKY,DNA,NMR
1FKZ,1FKZ,1FKZ,DNA,NMR
1FL8,1FL8,1FL8,RNA,NMR
1FLO,1FLO,PD0178,Protein/DNA,X-ray
1FMN,1FMN,1FMN,RNA,NMR
1FMQ,1FMQ,DD0034,DNA,X-ray
1FMS,1FMS,DD0035,DNA,X-ray
1FN1,1FN1,DD0032,DNA,X-ray
1FN2,1FN2,DD0033,DNA,X-ray
1FN7,1FN7,PD0179,Protein/DNA,X-ray
1FNX,1FNX,1FNX,Protein/RNA,NMR
1FOK,1FOK,PDE0127,Protein/DNA,X-ray
1FOQ,1FOQ,,Protein/RNA,EM
1FOS,1FOS,PDT014,Protein/DNA,X-ray
1FQ2,1FQ2,BD0041,DNA,X-ray
1FQP,1FQP,1FQP,DNA,NMR
1FQZ,1FQZ,1FQZ,RNA,NMR
1FTD,1FTD,DD0036,DNA,X-ray
1FUF,1FUF,AR0029,RNA,X-ray
1FV7,1FV7,1FV7,DNA,NMR
1FV8,1FV8,1FV8,DNA,NMR
1FW6,1FW6,PD0181,Protein/DNA,X-ray
1FXL,1FXL,PR0033,Protein/RNA,X-ray
1FYI,1FYI,1FYI,DNA,NMR
1FYK,1FYK,PD0182,Protein/DNA,X-ray
1FYL,1FYL,PD0183,Protein/DNA,X-ray
1FYM,1FYM,PD0184,Protein/DNA,X-ray
1FYO,1FYO,1FYO,RNA,NMR
1FYP,1FYP,1FYP,RNA,NMR
1FYY,1FYY,1FYY,DNA,NMR
1FZL,1FZL,1FZL,DNA,NMR
1FZS,1FZS,1FZS,DNA,NMR
1FZX,1FZX,1FZX,DNA,NMR
1G00,1G00,AD0010,DNA,X-ray
1G14,1G14,1G14,DNA,NMR
1G1N,1G1N,1G1N,DNA,NMR
1G1X,1G1X,RR0019,Protein/RNA,X-ray
1G22,1G22,1G22,DNA,NMR
1G2D,1G2D,PD0186,Protein/DNA,X-ray
1G2E,1G2E,PR0034,Protein/RNA,X-ray
1G2F,1G2F,PD0187,Protein/DNA,X-ray
1G2J,1G2J,AR0030,RNA,X-ray
1G38,1G38,PD0188,Protein/DNA,X-ray
1G3A,1G3A,1G3A,RNA,NMR
1G3V,1G3V,BD0042,DNA,X-ray
1G3X,1G3X,DD0037,Protein/DNA,X-ray
1G4D,1G4D,1G4D,Protein/DNA,NMR
1G4Q,1G4Q,AH0012,DNA/RNA,X-ray
1G59,1G59,PR0035,Protein/RNA,X-ray
1G5D,1G5D,1G5D,DNA,NMR
1G5E,1G5E,1G5E,DNA,NMR
1G5K,1G5K,1G5K,DNA,NMR
1G5L,1G5L,1G5L,DNA,NMR
1G6D,1G6D,UD0012,DNA,X-ray
1G70,1G70,1G70,Protein/RNA,NMR
1G75,1G75,BD0043,DNA,X-ray
1G7Z,1G7Z,1G7Z,DNA,NMR
1G80,1G80,1G80,DNA,NMR
1G8N,1G8N,BD0044,DNA,X-ray
1G8U,1G8U,BD0045,DNA,X-ray
1G8V,1G8V,BD0046,DNA,X-ray
1G9Y,1G9Y,PD0189,Protein/DNA,X-ray
1G9Z,1G9Z,PD0190,Protein/DNA,X-ray
1GA5,1GA5,PD0191,Protein/DNA,X-ray
1GAT,1GAT,1GAT,Protein/DNA,NMR
1GAU,1GAU,1GAU,Protein/DNA,NMR
1GAX,1GAX,PR0029,Protein/RNA,X-ray
1GCC,1GCC,1GCC,Protein/DNA,NMR
1GD2,1GD2,PD0180,Protein/DNA,X-ray
1GDT,1GDT,PDE0115,Protein/DNA,X-ray
1GID,1GID,URX053,RNA,X-ray
1GIP,1GIP,1GIP,DNA,NMR
1GIZ,1GIZ,1GIZ,DNA,NMR
1GJ0,1GJ0,1GJ0,DNA,NMR
1GJ1,1GJ1,1GJ1,DNA,NMR
1GJ2,1GJ2,1GJ2,DNA,NMR
1GJI,1GJI,PD0222,Protein/DNA,X-ray
1GLU,1GLU,PDRC01,Protein/DNA,X-ray
1GM5,1GM5,PD0267,Protein/DNA,X-ray
1GN7,1GN7,1GN7,DNA,NMR
1GQU,1GQU,UD0035,DNA,X-ray
1GRZ,1GRZ,UR0003,RNA,X-ray
1GSG,1GSG,PTR001,Protein/RNA,X-ray
1GT0,1GT0,NA0261,Protein/DNA,X-ray
1GTC,1GTC,1GTC,DNA/Hybrid,NMR
1GTF,1GTF,PR0071,Protein/RNA,X-ray
1GTN,1GTN,PR0072,Protein/RNA,X-ray
1GTR,1GTR,PTR003,Protein/RNA,X-ray
1GTS,1GTS,PTR002,Protein/RNA,X-ray
1GTW,1GTW,PD0788,Protein/DNA,X-ray
1GU4,1GU4,PD0652,Protein/DNA,X-ray
1GU5,1GU5,PD0653,Protein/DNA,X-ray
1GUC,1GUC,1GUC,RNA,NMR
1GV6,1GV6,1GV6,DNA/Hybrid,NMR
1GXP,1GXP,NA0262,Protein/DNA,X-ray
1H0M,1H0M,PD0654,Protein/DNA,X-ray
1H0Q,1H0Q,1H0Q,RNA,NMR
1H1K,1H1K,UR0063,Protein/RNA,X-ray
1H2C,1H2C,PR0237,Protein/RNA,X-ray
1H2D,1H2D,PR0238,Protein/RNA,X-ray
1H38,1H38,PH0018,Protein/DNA/RNA,X-ray
1H3E,1H3E,PR0158,Protein/RNA,X-ray
1H4Q,1H4Q,PR0056,Protein/RNA,X-ray
1H4S,1H4S,PR0057,Protein/RNA,X-ray
1H6F,1H6F,PD0311,Protein/DNA,X-ray
1H88,1H88,PD0288,Protein/DNA,X-ray
1H89,1H89,PD0289,Protein/DNA,X-ray
1H8A,1H8A,PD0290,Protein/DNA,X-ray
1H9D,1H9D,PD0210,Protein/DNA,X-ray
1H9T,1H9T,PD0232,Protein/DNA,X-ray
1HAO,1HAO,PDE0119,Protein/DNA,X-ray
1HAP,1HAP,PDE0118,Protein/DNA,X-ray
1HBX,1HBX,PD0233,Protein/DNA,X-ray
1HC8,1HC8,PR0159,Protein/RNA,X-ray
1HCQ,1HCQ,PDRC03,Protein/DNA,X-ray
1HCR,1HCR,PDE009,Protein/DNA,X-ray
1HDD,1HDD,PDT004,Protein/DNA,X-ray
1HF0,1HF0,PD0274,Protein/DNA,X-ray
1HG9,1HG9,1HG9,DNA/RNA,NMR
1HHT,1HHT,PD0216,Protein/DNA,X-ray
1HHW,1HHW,1HHW,RNA/Hybrid,NMR
1HHX,1HHX,1HHX,RNA/Hybrid,NMR
1HI0,1HI0,PD0217,Protein/DNA,X-ray
1HJB,1HJB,PD0204,Protein/DNA,X-ray
1HJC,1HJC,PD0205,Protein/DNA,X-ray
1HJI,1HJI,1HJI,Protein/RNA,NMR
1HLO,1HLO,PDT042,Protein/DNA,X-ray
1HLV,1HLV,PD0192,Protein/DNA,X-ray
1HLX,1HLX,1HLX,RNA,NMR
1HLZ,1HLZ,PD0193,Protein/DNA,X-ray
1HM1,1HM1,1HM1,DNA,NMR
1HMH,1HMH,UHX026,DNA/RNA,X-ray
1HNW,1HNW,RR0020,Protein/RNA,X-ray
1HNX,1HNX,RR0021,Protein/RNA,X-ray
1HNZ,1HNZ,RR0022,Protein/RNA,X-ray
1HO6,1HO6,1HO6,Hybrid,NMR
1HOQ,1HOQ,1HOQ,Hybrid,NMR
1HQ1,1HQ1,PR0037,Protein/RNA,X-ray
1HQ7,1HQ7,BD0047,DNA,X-ray
1HR0,1HR0,RR0023,Protein/RNA,X-ray
1HR2,1HR2,UR0012,RNA,X-ray
1HRY,1HRY,1HRY,Protein/DNA,NMR
1HRZ,1HRZ,1HRZ,Protein/DNA,NMR
1HS1,1HS1,1HS1,RNA,NMR
1HS2,1HS2,1HS2,RNA,NMR
1HS3,1HS3,1HS3,RNA,NMR
1HS4,1HS4,1HS4,RNA,NMR
1HS8,1HS8,1HS8,RNA,NMR
1HT4,1HT4,1HT4,DNA,NMR
1HT7,1HT7,1HT7,DNA,NMR
1HU0,1HU0,PD0195,Protein/DNA,X-ray
1HUO,1HUO,PD0196,Protein/DNA,X-ray
1HUT,1HUT,PDE013,Protein/DNA,X-ray
1HUZ,1HUZ,PD0197,Protein/DNA,X-ray
1HVN,1HVN,1HVN,Protein/DNA,NMR
1HVO,1HVO,1HVO,Protein/DNA,NMR
1HVU,1HVU,PRV022,Protein/RNA,X-ray
1HW2,1HW2,PD0199,Protein/DNA,X-ray
1HWQ,1HWQ,1HWQ,RNA,NMR
1HWT,1HWT,PD0089,Protein/DNA,X-ray
1HWV,1HWV,1HWV,DNA,NMR
1HX4,1HX4,1HX4,DNA,NMR
1HYS,1HYS,PH0003,Protein/DNA/RNA,X-ray
1HZ0,1HZ0,1HZ0,DNA,NMR
1HZ2,1HZ2,1HZ2,DNA,NMR
1HZS,1HZS,UP0002,PNA,X-ray
1I0F,1I0F,AD0011,DNA,X-ray
1I0G,1I0G,AD0012,DNA,X-ray
1I0J,1I0J,AD0013,DNA,X-ray
1I0K,1I0K,AD0014,DNA,X-ray
1I0M,1I0M,AD0015,DNA,X-ray
1I0N,1I0N,AD0016,DNA,X-ray
1I0O,1I0O,AD0017,DNA,X-ray
1I0P,1I0P,AD0018,DNA,X-ray
1I0Q,1I0Q,AD0019,DNA,X-ray
1I0T,1I0T,ZD0004,DNA,X-ray
1I1P,1I1P,DD0038,DNA,X-ray
1I2X,1I2X,AH0013,Hybrid,X-ray
1I2Y,1I2Y,AH0014,Hybrid,X-ray
1I34,1I34,1I34,DNA,NMR
1I3J,1I3J,PD0200,Protein/DNA,X-ray
1I3T,1I3T,BD0048,DNA,X-ray
1I3W,1I3W,DD0039,DNA,X-ray
1I3X,1I3X,1I3X,RNA,NMR
1I3Y,1I3Y,1I3Y,RNA,NMR
1I46,1I46,1I46,RNA,NMR
1I47,1I47,BD0049,DNA,X-ray
1I4B,1I4B,1I4B,RNA,NMR
1I4C,1I4C,1I4C,RNA,NMR
1I5L,1I5L,PR0046,Protein/RNA,X-ray
1I5V,1I5V,1I5V,DNA,NMR
1I5W,1I5W,AD0020,DNA,X-ray
1I6H,1I6H,PH0004,Protein/DNA/RNA,X-ray
1I6J,1I6J,PD0202,Protein/DNA,X-ray
1I6U,1I6U,PR0047,Protein/RNA,X-ray
1I7D,1I7D,PD0203,Protein/DNA,X-ray
1I7J,1I7J,AR0031,RNA,X-ray
1I7V,1I7V,1I7V,DNA,NMR
1I8M,1I8M,PD0206,Protein/DNA,X-ray
1I94,1I94,RR0024,Protein/RNA,X-ray
1I95,1I95,RR0025,Protein/RNA,X-ray
1I96,1I96,RR0026,Protein/RNA,X-ray
1I97,1I97,RR0027,Protein/RNA,X-ray
1I9F,1I9F,1I9F,Protein/RNA,NMR
1I9K,1I9K,1I9K,RNA,NMR
1I9V,1I9V,TR0004,RNA,X-ray
1I9X,1I9X,AR0032,RNA,X-ray
1IAW,1IAW,PD0207,Protein/DNA,X-ray
1IBK,1IBK,RR0028,Protein/RNA,X-ray
1IBL,1IBL,RR0029,Protein/RNA,X-ray
1IBM,1IBM,RR0030,Protein/RNA,X-ray
1IC8,1IC8,PD0208,Protein/DNA,X-ray
1ICG,1ICG,AH0015,Hybrid,X-ray
1ICK,1ICK,ZD0005,DNA,X-ray
1ID3,1ID3,PD0209,Protein/DNA,X-ray
1ID9,1ID9,AH0016,Hybrid,X-ray
1IDV,1IDV,1IDV,RNA,NMR
1IDW,1IDW,AH0017,Hybrid,X-ray
1IDX,1IDX,1IDX,DNA,NMR
1IE1,1IE1,1IE1,RNA,NMR
1IE2,1IE2,1IE2,RNA,NMR
1IEK,1IEK,1IEK,DNA,NMR
1IEY,1IEY,1IEY,DNA,NMR
1IF1,1IF1,PDR035,Protein/DNA,X-ray
1IG4,1IG4,1IG4,Protein/DNA,NMR
1IG7,1IG7,PD0211,Protein/DNA,X-ray
1IG9,1IG9,PD0212,Protein/DNA,X-ray
1IGN,1IGN,PDT035,Protein/DNA,X-ray
1IH1,1IH1,BD0050,DNA,X-ray
1IH2,1IH2,AD0021,DNA,X-ray
1IH3,1IH3,AD0022,DNA,X-ray
1IH4,1IH4,AD0023,DNA,X-ray
1IH6,1IH6,AD0024,DNA,X-ray
1IHA,1IHA,AH0018,Hybrid,X-ray
1IHF,1IHF,PDT040,Protein/DNA,X-ray
1IHH,1IHH,DD0040,DNA,X-ray
1II1,1II1,1II1,DNA,NMR
1IJS,1IJS,PDV005,Protein/DNA,X-ray
1IJW,1IJW,PD0213,Protein/DNA,X-ray
1IK1,1IK1,1IK1,RNA,NMR
1IK5,1IK5,AR0033,RNA,X-ray
1IKD,1IKD,1IKD,RNA,NMR
1IKK,1IKK,BD0051,DNA,X-ray
1IL2,1IL2,PR0049,Protein/RNA,X-ray
1ILC,1ILC,BD0052,DNA,X-ray
1IMH,1IMH,PD0214,Protein/DNA,X-ray
1IMR,1IMR,DDF061,DNA,X-ray
1IMS,1IMS,DDF062,DNA,X-ray
1IO4,1IO4,PD0198,Protein/DNA,X-ray
1IPP,1IPP,PDE0144,Protein/DNA,X-ray
1IR5,1IR5,1IR5,DNA,NMR
1IU3,1IU3,PD0297,Protein/DNA,X-ray
1IV6,1IV6,1IV6,Protein/DNA,NMR
1IVS,1IVS,PR0069,Protein/RNA,X-ray
1IXJ,1IXJ,UD0020,DNA,X-ray
1IXY,1IXY,PD0333,Protein/DNA,X-ray
1J1U,1J1U,PR0092,Protein/RNA,X-ray
1J1V,1J1V,PD0371,Protein/DNA,X-ray
1J2B,1J2B,PR0093,Protein/RNA,X-ray
1J3E,1J3E,PD0390,Protein/DNA,X-ray
1J46,1J46,1J46,Protein/DNA,NMR
1J47,1J47,1J47,Protein/DNA,NMR
1J4W,1J4W,1J4W,Protein/DNA,NMR
1J4Y,1J4Y,1J4Y,RNA,NMR
1J59,1J59,PD0299,Protein/DNA,X-ray
1J5A,1J5A,RR0051,Protein/RNA,X-ray
1J5E,1J5E,RR0052,Protein/RNA,X-ray
1J5K,1J5K,1J5K,Protein/DNA,NMR
1J5N,1J5N,1J5N,Protein/DNA,NMR
1J5O,1J5O,PD0316,Protein/DNA,X-ray
1J6S,1J6S,UR0023,RNA,X-ray
1J75,1J75,PD0215,Protein/DNA,X-ray
1J7T,1J7T,DR0006,RNA,X-ray
1J8G,1J8G,UR0014,RNA,X-ray
1J8L,1J8L,BD0053,DNA,X-ray
1J9H,1J9H,AR0034,RNA,X-ray
1J9N,1J9N,1J9N,Protein/DNA,NMR
1JB7,1JB7,PD0218,Protein/DNA,X-ray
1JB8,1JB8,AH0019,DNA/RNA,X-ray
1JBR,1JBR,PR0051,Protein/RNA,X-ray
1JBS,1JBS,PR0052,Protein/RNA,X-ray
1JBT,1JBT,PR0053,Protein/RNA,X-ray
1JDG,1JDG,1JDG,DNA,NMR
1JE8,1JE8,PD0219,Protein/DNA,X-ray
1JES,1JES,ZD0006,DNA,X-ray
1JEY,1JEY,PD0220,Protein/DNA,X-ray
1JFI,1JFI,PD0221,Protein/DNA,X-ray
1JFS,1JFS,PD0223,Protein/DNA,X-ray
1JFT,1JFT,PD0224,Protein/DNA,X-ray
1JGG,1JGG,PDT031,Protein/DNA,X-ray
1JGO,1JGO,RR0034,Protein/RNA,X-ray
1JGP,1JGP,RR0035,Protein/RNA,X-ray
1JGQ,1JGQ,RR0036,Protein/RNA,X-ray
1JGR,1JGR,BD0054,DNA,X-ray
1JH9,1JH9,PD0226,Protein/DNA,X-ray
1JHI,1JHI,1JHI,DNA,NMR
1JID,1JID,PR0054,Protein/RNA,X-ray
1JJ2,1JJ2,RR0033,Protein/RNA,X-ray
1JJ4,1JJ4,PD0227,Protein/DNA,X-ray
1JJ6,1JJ6,PD0228,Protein/DNA,X-ray
1JJ8,1JJ8,PD0229,Protein/DNA,X-ray
1JJP,1JJP,1JJP,DNA,NMR
1JK1,1JK1,PD0230,Protein/DNA,X-ray
1JK2,1JK2,PD0231,Protein/DNA,X-ray
1JKO,1JKO,PD0234,Protein/DNA,X-ray
1JKP,1JKP,PD0235,Protein/DNA,X-ray
1JKQ,1JKQ,PD0236,Protein/DNA,X-ray
1JKR,1JKR,PD0237,Protein/DNA,X-ray
1JMC,1JMC,PDO001,Protein/DNA,X-ray
1JNM,1JNM,PD0241,Protein/DNA,X-ray
1JO1,1JO1,1JO1,DNA,NMR
1JO2,1JO2,DD0041,Hybrid,X-ray
1JO7,1JO7,1JO7,RNA,NMR
1JOX,1JOX,1JOX,RNA,NMR
1JP0,1JP0,1JP0,RNA,NMR
1JPQ,1JPQ,UD0013,DNA,X-ray
1JRN,1JRN,UD0014,DNA,X-ray
1JRV,1JRV,1JRV,DNA,NMR
1JRW,1JRW,1JRW,DNA,NMR
1JS5,1JS5,1JS5,DNA,NMR
1JS7,1JS7,1JS7,DNA,NMR
1JT0,1JT0,PD0249,Protein/DNA,X-ray
1JTJ,1JTJ,1JTJ,RNA,NMR
1JTL,1JTL,DD0042,DNA,X-ray
1JTW,1JTW,1JTW,RNA,NMR
1JU0,1JU0,1JU0,DNA,NMR
1JU1,1JU1,1JU1,RNA,NMR
1JU7,1JU7,1JU7,RNA,NMR
1JUA,1JUA,1JUA,DNA,NMR
1JUC,1JUC,UD0015,DNA,X-ray
1JUR,1JUR,1JUR,RNA,NMR
1JUU,1JUU,1JUU,DNA,NMR
1JUX,1JUX,DD0043,DNA,X-ray
1JVC,1JVC,1JVC,DNA,NMR
1JVE,1JVE,1JVE,DNA,NMR
1JWC,1JWC,1JWC,RNA,NMR
1JWL,1JWL,PD0250,Protein/DNA,X-ray
1JX4,1JX4,PD0251,Protein/DNA,X-ray
1JXL,1JXL,PD0252,Protein/DNA,X-ray
1JZC,1JZC,1JZC,RNA,NMR
1JZV,1JZV,AR0035,RNA,X-ray
1JZX,1JZX,RR0037,Protein/RNA,X-ray
1JZY,1JZY,RR0038,Protein/RNA,X-ray
1JZZ,1JZZ,RR0039,Protein/RNA,X-ray
1K01,1K01,RR0041,Protein/RNA,X-ray
1K1G,1K1G,1K1G,Protein/RNA,NMR
1K1H,1K1H,1K1H,DNA,NMR
1K1R,1K1R,1K1R,DNA,NMR
1K29,1K29,1K29,DNA,NMR
1K2G,1K2G,1K2G,RNA,NMR
1K2J,1K2J,1K2J,DNA,NMR
1K2K,1K2K,1K2K,DNA,NMR
1K2L,1K2L,DD0045,DNA,X-ray
1K2Z,1K2Z,DD0046,DNA,X-ray
1K3W,1K3W,PD0253,Protein/DNA,X-ray
1K3X,1K3X,PD0254,Protein/DNA,X-ray
1K4A,1K4A,1K4A,RNA,NMR
1K4B,1K4B,1K4B,RNA,NMR
1K4S,1K4S,PD0255,Protein/DNA,X-ray
1K4T,1K4T,PD0256,Protein/DNA,X-ray
1K4X,1K4X,1K4X,DNA,NMR
1K5E,1K5E,1K5E,DNA,NMR
1K5F,1K5F,1K5F,DNA,NMR
1K5I,1K5I,1K5I,RNA,NMR
1K61,1K61,PD0257,Protein/DNA,X-ray
1K6G,1K6G,1K6G,RNA,NMR
1K6H,1K6H,1K6H,RNA,NMR
1K6O,1K6O,PD0258,Protein/DNA,X-ray
1K73,1K73,RR0042,Protein/RNA,X-ray
1K78,1K78,PD0259,Protein/DNA,X-ray
1K79,1K79,PD0260,Protein/DNA,X-ray
1K7A,1K7A,PD0261,Protein/DNA,X-ray
1K82,1K82,PD0264,Protein/DNA,X-ray
1K8A,1K8A,RR0043,Protein/RNA,X-ray
1K8G,1K8G,PD0266,Protein/DNA,X-ray
1K8J,1K8J,1K8J,DNA,NMR
1K8L,1K8L,1K8L,DNA,NMR
1K8N,1K8N,1K8N,DNA,NMR
1K8P,1K8P,UD0016,DNA,X-ray
1K8S,1K8S,1K8S,RNA,NMR
1K8W,1K8W,PR0060,Protein/RNA,X-ray
1K9G,1K9G,DD0047,DNA,X-ray
1K9H,1K9H,1K9H,DNA,NMR
1K9L,1K9L,1K9L,DNA,NMR
1K9M,1K9M,RR0044,Protein/RNA,X-ray
1K9W,1K9W,UR0017,RNA,X-ray
1KAJ,1KAJ,1KAJ,RNA,NMR
1KB1,1KB1,1KB1,DNA,NMR
1KB2,1KB2,PD0268,Protein/DNA,X-ray
1KB4,1KB4,PD0269,Protein/DNA,X-ray
1KB6,1KB6,PD0270,Protein/DNA,X-ray
1KBD,1KBD,1KBD,DNA,NMR
1KBM,1KBM,1KBM,DNA,NMR
1KBU,1KBU,PD0271,Protein/DNA,X-ray
1KC6,1KC6,PD0272,Protein/DNA,X-ray
1KC8,1KC8,RR0045,Protein/RNA,X-ray
1KCI,1KCI,DD0048,DNA,X-ray
1KD1,1KD1,RR0047,Protein/RNA,X-ray
1KD3,1KD3,AR0036,RNA,X-ray
1KD4,1KD4,AR0037,RNA,X-ray
1KD5,1KD5,AR0038,RNA,X-ray
1KDH,1KDH,PD0275,Protein/DNA,X-ray
1KEG,1KEG,PD0276,Protein/DNA,X-ray
1KF1,1KF1,UD0017,DNA,X-ray
1KFO,1KFO,AR0039,RNA,X-ray
1KFS,1KFS,PDE0137,Protein/DNA,X-ray
1KFV,1KFV,PD0277,Protein/DNA,X-ray
1KGK,1KGK,AD0025,DNA,X-ray
1KH6,1KH6,UR0018,RNA,X-ray
1KIS,1KIS,1KIS,RNA,NMR
1KIX,1KIX,PD0278,Protein/DNA,X-ray
1KKA,1KKA,1KKA,RNA,NMR
1KKS,1KKS,1KKS,RNA,NMR
1KKV,1KKV,1KKV,DNA,NMR
1KKW,1KKW,1KKW,DNA,NMR
1KLN,1KLN,PDE004,Protein/DNA,X-ray
1KNZ,1KNZ,PR0063,Protein/RNA,X-ray
1KOC,1KOC,1KOC,RNA,NMR
1KOD,1KOD,1KOD,RNA,NMR
1KOG,1KOG,PR0064,Protein/RNA,X-ray
1KOS,1KOS,1KOS,RNA,NMR
1KP7,1KP7,1KP7,RNA,NMR
1KPD,1KPD,1KPD,RNA,NMR
1KPY,1KPY,1KPY,RNA,NMR
1KPZ,1KPZ,1KPZ,RNA,NMR
1KQ2,1KQ2,PR0065,Protein/RNA,X-ray
1KQQ,1KQQ,1KQQ,Protein/DNA,NMR
1KQS,1KQS,RR0049,Protein/RNA,X-ray
1KR8,1KR8,1KR8,DNA,NMR
1KRP,1KRP,PDE0138,Protein/DNA,X-ray
1KSB,1KSB,1KSB,DNA,NMR
1KSE,1KSE,1KSE,DNA,NMR
1KSP,1KSP,PDE0136,Protein/DNA,X-ray
1KSX,1KSX,PD0282,Protein/DNA,X-ray
1KSY,1KSY,PD0283,Protein/DNA,X-ray
1KU7,1KU7,PD0284,Protein/DNA,X-ray
1KUQ,1KUQ,RR0050,Protein/RNA,X-ray
1KVH,1KVH,1KVH,DNA,NMR
1KX3,1KX3,PD0285,Protein/DNA,X-ray
1KX4,1KX4,PD0286,Protein/DNA,X-ray
